intent;data/0/text;data/1/text
I1;oie;
I1;eaee;
I1;boa;noite
I1;BOa;tarde
I1;Bom dia;
I1;h† quanto tempo;
I1;ol†;
I1;oi;
I1;opa;
I1;fala a°;
I1;fala;
I1;saudaá‰es;
I1;oi tudo bem;
I1;e a°;
I1;eae;
I1;ola;
I2;j† nasceu;
I2;bb;nasceu
I2;bebe j† nasceu;
I2;mam∆e;
I2;j† sou;mae
I2;Letra A;
I2;a;
I2;M«E;
I2;MAE;
I2;A;
I2;m∆e;
I2;mae;
I3;e;
I3;d;
I3;c;
I3;b;
I3;a;
I3;peito;
I3;mamada;
I3;dor na mama;
I3;aumento producao;
I3;leite fraco;
I4;mamadeira e peito;
I4;Dou mamadeira e peito regularmente;
I4;D;
I4;C;
I4;B;
I4;dou na;
I4;A;
I4;somente no peito;
I4;amamento somente no peito;
I5;sou gestante;
I5;bebà;n∆o nasceu
I5;estou gr†vida;
I5;gr†vida;
I5;gestante;
I5;B;
I5;Letra b;
I6;n;
I6;discordo;
I6;definitivamente n∆o;
I6;n∆o obrigado;
I6;acho que n∆o;
I6;n∆o;
I6;n∆o tenho interesse;
I6;n∆o quero isso;
I6;n∆o faáa isso;
I6;n∆o mesmo;
I7;s;
I7;04/05/2021;
I7;05/02/2022;
I7;01/01/2022;
I7;05/12/2021;
I7;faáa isso;
I7;confirmar;
I7;sim;
I7;isso mesmo;
I7;concordo;
I7;parece bom;
I7;claro;
I7;exatamente;
I7;com certeza;
I8;PrÇ-eclÉmpsia em gestaá∆o anterior;
I8;Parto Prematuro anterior;
I8;Mais de 40 anos;
I8;Hipotiroidismo;
I8;M†;formaá∆o em gestaá∆o anterior
I8;2;ou mais abortos anteriores
I8;Gestaá∆o atual de gàmeos;
I8;Press∆o alta;
I8;Anemia;severa
I8;doenca de coracao;
I8;yes;
I8;s;
I8;Doenáas do coraá∆o;
I8;diabetes;
I8;confirmar;
I8;sim;
I8;isso mesmo;
I8;concordo;
I8;claro;
I8;exatamente;
I8;com certeza;
I9;discordo;
I9;definitivamente n∆o;
I9;n∆o obrigado;
I9;acho que n∆o;
I9;n∆o;
I9;n∆o tenho interesse;
I9;n∆o quero isso;
I9;n∆o faáa isso;
I9;n∆o mesmo;
I10;sintomas durante gravidez;
I10;sintomas na gravidez;
I10;sintomas durante a gestaá∆o;
I10;sintomas;
I10;opá∆o;dois
I10;segunda;opcao
I10;letra b;
I10;B;
I11;sintomas durante gravidez;
I11;sintomas na gravidez;
I11;opá∆o;dois
I11;sintomas gestacao;
I11;sintomas durante a gestacao;
I11;segunda;opcao
I11;letra b;
I11;B;
I12;j† nasceu;
I12;bb;nasceu
I12;bebe j† nasceu;
I12;mam∆e;
I12;j† sou;mae
I12;Letra A;
I12;a;
I12;M«E;
I12;MAE;
I12;A;
I12;m∆e;
I12;mae;
I13;e;
I13;d;
I13;c;
I13;b;
I13;a;
I13;peito;
I13;mamada;
I13;dor na mama;
I13;aumento producao;
I13;leite fraco;
I14;tudo;
I14;estou;
I14;sentindo;
I14;letra A;
I14;A;
I15;confirmar;
I15;sim;
I15;isso mesmo;
I15;concordo;
I15;claro;
I15;exatamente;
I15;com certeza;
I16;Estou com;queixa
I16;tenho sentido;
I16;estou com;queixa
I16;Sinto;
I16;Tenho;
I16;n∆o me sinto;
I16;n∆o estou;
I16;tenho queixa;
I16;letra b;
I16;B;
I17;faáa isso;
I17;confirmar;
I17;sim;
I17;isso mesmo;
I17;concordo;
I17;parece bom;
I17;claro;
I17;exatamente;
I17;com certeza;
I18;discordo;
I18;definitivamente n∆o;
I18;n∆o obrigado;
I18;acho que n∆o;
I18;n∆o;
I18;n∆o tenho interesse;
I18;n∆o quero isso;
I18;n∆o faáa isso;
I18;n∆o mesmo;
I9;discordo;
I9;definitivamente n∆o;
I9;n∆o obrigado;
I9;acho que n∆o;
I9;n∆o;
I9;n∆o tenho interesse;
I9;n∆o quero isso;
I9;n∆o faáa isso;
I9;n∆o mesmo;
I20;discordo;
I20;definitivamente n∆o;
I20;n∆o obrigado;
I20;acho que n∆o;
I20;n∆o;
I20;n∆o tenho interesse;
I20;n∆o quero isso;
I20;n∆o faáa isso;
I20;n∆o mesmo;
